Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,2.0,0.35,0.4,0.001,50,0.008276037871837616,0.9755656,0.60129666,0.66869855,0.6332089900970459,0.7191603,0.9759101867675781,186601.0,92450.0,8444579.0,123730.0
Adam,SFCE,2.0,0.4,0.4,0.001,50,0.011484668590128422,0.9767186,0.58831054,0.700069,0.6393426060676575,0.72305286,0.9671953320503235,182571.0,78219.0,8458810.0,127760.0
Adam,SFCE,2.0,0.45,0.4,0.001,50,0.007916426286101341,0.9735947,0.6613616,0.61492115,0.6372964382171631,0.7203192,0.9789507985115051,205241.0,128527.0,8408502.0,105090.0
Adam,SFCE,2.0,0.5,0.4,0.001,50,0.011828606948256493,0.974753,0.6207243,0.64576364,0.6329964995384216,0.7186225,0.968794584274292,192630.0,105668.0,8431361.0,117701.0
Adam,SFCE,2.0,0.55,0.4,0.001,50,0.012533910572528839,0.97267526,0.7171762,0.5910635,0.648041307926178,0.72565264,0.9684196710586548,222562.0,153983.0,8383046.0,87769.0
Adam,SFCE,2.0,0.6,0.4,0.001,50,0.01066073589026928,0.96698606,0.7693431,0.5198636,0.6204644441604614,0.70791686,0.9726647734642029,238751.0,220506.0,8316523.0,71580.0
Adam,SFCE,2.0,0.65,0.4,0.001,50,0.008613046258687973,0.95259804,0.85141027,0.41446832,0.5575299263000488,0.6688247,0.9764363169670105,264219.0,373270.0,8163759.0,46112.0
Adam,SFCE,2.0,0.7,0.4,0.001,50,0.014143772423267365,0.9711725,0.7083856,0.57191247,0.632875382900238,0.71668124,0.9610345363616943,219834.0,164550.0,8372479.0,90497.0
Adam,SFCE,2.0,0.75,0.4,0.001,50,0.012956089340150356,0.9702543,0.7061718,0.5602862,0.6248266100883484,0.7119304,0.9641339778900146,219147.0,171987.0,8365042.0,91184.0
Adam,SFCE,2.0,0.8,0.4,0.001,50,0.011177141219377518,0.9571359,0.8206689,0.44042224,0.5732191801071167,0.67881125,0.9632437229156494,254679.0,323582.0,8213447.0,55652.0
Adam,SFCE,2.0,0.85,0.4,0.001,50,0.006397495046257973,0.94054013,0.91560626,0.36241826,0.5192896127700806,0.6446351,0.9796146750450134,284141.0,499873.0,8037156.0,26190.0
Adam,SFCE,2.0,0.9,0.4,0.001,50,0.006137766409665346,0.9383797,0.91474265,0.35369527,0.510139524936676,0.63937235,0.9782164692878723,283873.0,518719.0,8018310.0,26458.0
Adam,SFCE,2.0,0.95,0.4,0.001,50,0.005432676523923874,0.92307526,0.9206428,0.30340528,0.45640018582344055,0.6080904,0.9730271697044373,285704.0,655954.0,7881075.0,24627.0
Adam,SFCE,2.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,3.0,0.0,0.4,0.001,50,0.00951157696545124,0.95725256,0.76572114,0.43751806,0.556858241558075,0.670969,0.9729384183883667,237627.0,305498.0,8231531.0,72704.0
Adam,SFCE,3.0,0.05,0.4,0.001,50,0.0013687553582713008,0.97618693,0.3703014,0.8827198,0.5217347741127014,0.6644054,0.9794633984565735,114916.0,15268.0,8521761.0,195415.0
Adam,SFCE,3.0,0.1,0.4,0.001,50,0.0026908728759735823,0.9792401,0.5742127,0.77567244,0.6599094271659851,0.7356249,0.9776937961578369,178196.0,51535.0,8485494.0,132135.0
Adam,SFCE,3.0,0.15,0.4,0.001,50,0.0030312901362776756,0.97953886,0.5764039,0.7830053,0.6640051007270813,0.7380642,0.9780858159065247,178876.0,49572.0,8487457.0,131455.0
Adam,SFCE,3.0,0.2,0.4,0.001,50,0.004505834076553583,0.977862,0.61018074,0.716592,0.6591191291809082,0.7344673,0.9732298254966736,189358.0,74890.0,8462139.0,120973.0
Adam,SFCE,3.0,0.25,0.4,0.001,50,0.004205251112580299,0.97538835,0.6116856,0.6612568,0.6355049014091492,0.72029674,0.9724600315093994,189825.0,97243.0,8439786.0,120506.0
Adam,SFCE,3.0,0.3,0.4,0.001,50,0.005304419901221991,0.9760365,0.5665886,0.6940393,0.6238712072372437,0.7144515,0.9701480865478516,175830.0,77513.0,8459516.0,134501.0
Adam,SFCE,3.0,0.35,0.4,0.001,50,0.0041967821307480335,0.967289,0.63970405,0.5278173,0.5783994793891907,0.6867016,0.9737138152122498,198520.0,177595.0,8359434.0,111811.0
Adam,SFCE,3.0,0.4,0.4,0.001,50,0.004448636434972286,0.961177,0.76120657,0.4672173,0.579032838344574,0.68380195,0.9732738137245178,236226.0,269376.0,8267653.0,74105.0
Adam,SFCE,3.0,0.45,0.4,0.001,50,0.004196714609861374,0.9657411,0.76811534,0.5076995,0.6113297343254089,0.7025095,0.9781637191772461,238370.0,231140.0,8305889.0,71961.0
