Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,2.0,0.45,0.4,0.001,50,0.00990116037428379,0.9785518,0.6571983,0.70981497,0.682494044303894,0.7480327,0.9752689599990845,203949.0,83378.0,8453651.0,106382.0
Adam,SFCE,2.0,0.5,0.4,0.001,50,0.01276184432208538,0.97622037,0.61729574,0.6764623,0.645526111125946,0.7261411,0.9691927433013916,191566.0,91622.0,8445407.0,118765.0
Adam,SFCE,2.0,0.55,0.4,0.001,50,0.012831826694309711,0.9740965,0.67010707,0.6212118,0.644733726978302,0.7245989,0.9707218408584595,207955.0,126802.0,8410227.0,102376.0
Adam,SFCE,2.0,0.6,0.4,0.001,50,0.00834190845489502,0.97288334,0.7563537,0.5882412,0.6617879867553711,0.733338,0.9805454611778259,234720.0,164300.0,8372729.0,75611.0
Adam,SFCE,2.0,0.65,0.4,0.001,50,0.009285408072173595,0.973865,0.7471377,0.6028366,0.6672748327255249,0.7369231,0.9791235327720642,231860.0,152755.0,8384274.0,78471.0
Adam,SFCE,2.0,0.7,0.4,0.001,50,0.010487066581845284,0.96858835,0.7694204,0.53641754,0.6321314573287964,0.7149229,0.973192036151886,238775.0,206354.0,8330675.0,71556.0
Adam,SFCE,2.0,0.75,0.4,0.001,50,0.01222691684961319,0.97364604,0.74483377,0.6001864,0.6647321581840515,0.7353829,0.9762774109840393,231145.0,153977.0,8383052.0,79186.0
Adam,SFCE,2.0,0.8,0.4,0.001,50,0.014832161366939545,0.9721482,0.76919484,0.5772877,0.6595655083656311,0.7317146,0.972746729850769,238705.0,174789.0,8362240.0,71626.0
Adam,SFCE,2.0,0.85,0.4,0.001,50,0.011358595453202724,0.9678294,0.82566035,0.52640575,0.6429150104522705,0.72030884,0.9753129482269287,256228.0,230523.0,8306506.0,54103.0
Adam,SFCE,2.0,0.9,0.4,0.001,50,0.007844841107726097,0.9499549,0.85587966,0.4002212,0.5454039573669434,0.6616791,0.9747964143753052,265606.0,398042.0,8138987.0,44725.0
Adam,SFCE,2.0,0.95,0.4,0.001,50,0.007375066634267569,0.93104064,0.8879519,0.32384607,0.4746001660823822,0.6199777,0.971064031124115,275559.0,575336.0,7961693.0,34772.0
Adam,SFCE,2.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,3.0,0.0,0.4,0.001,50,0.011780009604990482,0.9743825,0.73405814,0.6125033,0.6677942872047424,0.73748755,0.973567545413971,227801.0,144117.0,8392912.0,82530.0
Adam,SFCE,3.0,0.05,0.4,0.001,50,0.0012986561050638556,0.9771852,0.3901157,0.90583616,0.5453611612319946,0.67589015,0.9769753813743591,121065.0,12585.0,8524444.0,189266.0
Adam,SFCE,3.0,0.1,0.4,0.001,50,0.05408426746726036,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,3.0,0.15,0.4,0.001,50,0.00318692484870553,0.97936493,0.6390982,0.7375706,0.6848125457763672,0.74979377,0.9827483296394348,198332.0,70567.0,8466462.0,111999.0
Adam,SFCE,3.0,0.2,0.4,0.001,50,0.0033988398499786854,0.9800578,0.61987686,0.7668943,0.6855925917625427,0.7506064,0.9800720810890198,192367.0,58472.0,8478557.0,117964.0
Adam,SFCE,3.0,0.25,0.4,0.001,50,0.004194352775812149,0.97869384,0.6822715,0.70194805,0.6919698715209961,0.7535942,0.9794341325759888,211730.0,89902.0,8447127.0,98601.0
Adam,SFCE,3.0,0.3,0.4,0.001,50,0.0039230333641171455,0.9750621,0.70665514,0.6285419,0.6653136014938354,0.7364537,0.9793378114700317,219297.0,129601.0,8407428.0,91034.0
Adam,SFCE,3.0,0.35,0.4,0.001,50,0.004530488513410091,0.9781243,0.6714089,0.6946944,0.6828531622886658,0.74801517,0.9779302477836609,208359.0,91570.0,8445459.0,101972.0
Adam,SFCE,3.0,0.4,0.4,0.001,50,0.0053160772658884525,0.97766846,0.6839568,0.68084365,0.6823988556861877,0.7475135,0.9776407480239868,212253.0,99495.0,8437534.0,98078.0
Adam,SFCE,3.0,0.45,0.4,0.001,50,0.005231148563325405,0.97701305,0.7211816,0.6569882,0.6875898838043213,0.75016516,0.9791826605796814,223805.0,116848.0,8420181.0,86526.0
Adam,SFCE,3.0,0.5,0.4,0.001,50,0.004758818075060844,0.9742901,0.7777341,0.6036229,0.6797057390213013,0.74419147,0.9805963635444641,241355.0,158489.0,8378540.0,68976.0
Adam,SFCE,3.0,0.55,0.4,0.001,50,0.006168748252093792,0.9736593,0.7495738,0.5996077,0.6662561893463135,0.7362431,0.976206362247467,232616.0,155331.0,8381698.0,77715.0
Adam,SFCE,3.0,0.6,0.4,0.001,50,0.008551658131182194,0.97314453,0.6856099,0.6030765,0.641700267791748,0.722456,0.9686364531517029,212766.0,140035.0,8396994.0,97565.0
Adam,SFCE,3.0,0.65,0.4,0.001,50,0.006546452175825834,0.9701363,0.72907317,0.5567383,0.631356954574585,0.715327,0.9719429612159729,226254.0,180138.0,8356891.0,84077.0
Adam,SFCE,3.0,0.7,0.4,0.001,50,0.007939831353724003,0.964197,0.80089647,0.49361393,0.6107848286628723,0.70141196,0.9724326729774475,248543.0,254974.0,8282055.0,61788.0
Adam,SFCE,3.0,0.75,0.4,0.001,50,0.007972500286996365,0.9637693,0.79304034,0.4898343,0.6056061387062073,0.6985238,0.969222366809845,246105.0,256320.0,8280709.0,64226.0
Adam,SFCE,3.0,0.8,0.4,0.001,50,0.007232344709336758,0.95788676,0.815468,0.44523126,0.5759848952293396,0.68056303,0.968951940536499,253065.0,315325.0,8221704.0,57266.0
Adam,SFCE,3.0,0.85,0.4,0.001,50,0.00672180624678731,0.9639254,0.8246356,0.49151644,0.6159213185310364,0.7039268,0.9773322939872742,255911.0,264744.0,8272285.0,54420.0
Adam,SFCE,3.0,0.9,0.4,0.001,50,0.0032169073820114136,0.9305783,0.91759443,0.32603985,0.48112595081329346,0.6225172,0.9779450297355652,284758.0,588626.0,7948403.0,25573.0
Adam,SFCE,3.0,0.95,0.4,0.001,50,0.010909436270594597,0.95257354,0.8238397,0.41196498,0.5492665767669678,0.66488767,0.9690045714378357,255663.0,364931.0,8172098.0,54668.0
